电影ID,电影链接,电影名称,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDb,豆瓣评分,评价人数,5星,4星
10522066,https://movie.douban.com/subject/10522066/,待绽蔷薇 Starlet (2012),肖恩·贝克,肖恩·贝克 / 克里斯·贝格齐,德丽·海明威 / 贝塞德卡·约翰森 / 布尼 / 斯黛拉·麦薇 / 詹姆斯·兰索恩 / 更多...,剧情 / 情色,美国 / 英国,英语,2012-03-11(西南偏南电影节) / 2012-11-09(美国),103分钟,小明星(港/台) / 明日女优 / 小星星,tt2035630,7.5,13544,17.5%,44.2%
10533913,https://movie.douban.com/subject/10533913/,头脑特工队 Inside Out (2015),彼特·道格特 / 罗纳尔多·德尔·卡门,彼特·道格特 / 罗纳尔多·德尔·卡门 / 梅格·勒福夫 / 乔什·库雷 / 迈克尔·阿恩特 / 更多...,艾米·波勒 / 菲利丝·史密斯 / 理查德·坎德 / 比尔·哈德尔 / 刘易斯·布莱克 / 更多...,喜剧 / 动画 / 冒险,美国,英语,2015-10-06(中国大陆) / 2015-05-18(戛纳电影节) / 2015-06-19(美国),95分钟,玩转脑朋友(港) / 脑筋急转弯(台) / 头脑大作战 / 大脑环游记 / 脑中小小人 / 大脑内外 / 由内而外 / 头脑总动员,tt2096673,8.8,812838,53.9%,35.7%
10535562,https://movie.douban.com/subject/10535562/,突袭2：暴徒 The Raid 2: Berandal (2014),加雷斯·埃文斯,加雷斯·埃文斯,伊科·乌艾斯 / 朱莉·埃斯特尔 / 雅彦·鲁伊安 / 阿里芬·普特拉 / 唐尼·阿兰西亚 / 更多...,剧情 / 动作 / 犯罪,印度尼西亚 / 美国,印度尼西亚语 / 日语 / 英语 / 阿拉伯语,2014-01-21(圣丹斯电影节) / 2014-03-28(美国) / 2014-03(印尼),150分钟,全面突袭2 / 全面突袭2：拳力进击(台) / 突击死亡塔2：黑金任务(港) / 突袭2 / The Raid 2,tt2265171,8.1,78609,32.0%,45.2%
10535568,https://movie.douban.com/subject/10535568/,阿黛尔的生活 La Vie d'Adèle (2013),阿布戴·柯西胥,阿布戴·柯西胥 / 茱莉·马罗 / 加利亚·拉克鲁瓦,阿黛尔·艾克萨勒霍布洛斯 / 蕾雅·赛杜 / 萨利姆·克希乌什 / 杰里米·拉赫特 / 卡特琳·萨雷 / 更多...,剧情 / 爱情 / 同性,法国 / 比利时 / 西班牙,法语 / 英语,2013-05-23(戛纳电影节) / 2013-10-09(法国/比利时),179分钟,接近无限温暖的蓝(港) / 蓝色是最温暖的颜色(台) / 火热蓝色 / 阿黛儿的一生：第一、二章 / Adele: Chapters 1 & 2 / Blue Is the Warmest Color,tt2278871,8.4,285319,37.6%,44.5%
10537853,https://movie.douban.com/subject/10537853/,万箭穿心 (2012),王竞,吴楠,颜丙燕 / 陈刚 / 焦刚 / 李现 / 赵倩 / 更多...,剧情 / 家庭,中国大陆,汉语普通话 / 武汉方言,2012-11-16(中国大陆),118分钟,风水 / Feng Shui,tt2513344,8.6,286359,44.7%,44.2%
10543907,https://movie.douban.com/subject/10543907/,亨利五世 Henry V (2012),西娅·夏罗克,威廉·莎士比亚,汤姆·希德勒斯顿 / 朱丽·沃特斯 / 约翰·赫特 / 理查德·格雷弗斯 / 梅兰尼·蒂埃里 / 更多...,剧情 / 历史 / 战争,英国,英语,2012-07-21(英国),132分钟,空王冠4 / 虚妄之冠：亨利五世 / The Hollow Crown 4,tt2150275,8.7,11302,49.2%,38.7%
10545939,https://movie.douban.com/subject/10545939/,黄金时代 (2014),许鞍华,李樯,汤唯 / 冯绍峰 / 王志文 / 朱亚文 / 黄轩 / 更多...,剧情 / 爱情 / 传记,中国大陆 / 中国香港,汉语普通话 / 粤语 / 上海话 / 武汉话 / 四川话 / 俄语 / 日语,2014-10-01(中国大陆/中国香港) / 2014-09-06(威尼斯电影节),179分钟,穿过爱情的漫长旅程 / 萧红传 / The Golden Era,tt3696086,7.4,198847,17.0%,42.6%
10546436,https://movie.douban.com/subject/10546436/,第一滴血5：最后的血 Rambo: Last Blood (2019),阿德里安·格鲁伯格,马修·西鲁尼克 / 西尔维斯特·史泰龙 / 丹·戈登 / 大卫·莫瑞尔,西尔维斯特·史泰龙 / 帕斯·贝加 / 塞尔吉奥·佩里斯-门切塔 / 阿德里安娜·巴拉萨 / 维特·蒙雷尔 / 更多...,动作 / 惊悚 / 冒险,美国 / 西班牙 / 保加利亚,英语 / 西班牙语,2019-09-18(印度尼西亚) / 2019-09-20(美国) / 2019-09-27(西班牙),89分钟 / 101分钟,第一滴血：终极血战(港) / 蓝波：最后一滴血(台) / 第一滴血5 / 兰博5：最后一滴血 / 第一滴血：最后一战 / Rambo V / Rambo 5 / Rambo 5: Last Blood / Rambo V: Last Blood,tt1206885,7.6,55485,22.6%,41.2%
10558405,https://movie.douban.com/subject/10558405/,古畑任三郎完结篇 重生之死 古畑任三郎ファイナル 今、甦る死 (2006),星护,三谷幸喜,田村正和 / 西村雅彦 / 石井正则 / 石坂浩二 / 藤原竜也 / 更多...,悬疑 / 犯罪,日本,日语,2006-01-03(日本),105分钟,古畑任三郎之复苏之死,tt21443642,9,12114,61.1%,30.9%
10561911,https://movie.douban.com/subject/10561911/,时光钟摆 振り子 (2012),鉄拳,未知,未知,剧情 / 动画 / 短片,日本,无对白,2012-03-20,4分56秒,钟摆,tt4735456,8.6,10515,47.8%,37.3%
